Time,Score,Errors,Vocab_Level,Coherence
2026-04-17 01:07,9.5,1,Advanced,Needs Improvement
2026-04-17 02:41,9.5,1,Advanced,Needs Improvement
2026-04-17 20:44,10.0,0,Advanced,Needs Improvement
2026-04-17 20:45,10.0,0,Advanced,Good
2026-04-17 20:45,9.5,1,Basic,Needs Improvement
2026-04-17 20:46,10.0,0,Advanced,Needs Improvement
2026-04-18 01:48,5.0,10,Intermediate,Good
2026-04-18 01:52,8.5,3,Basic,Good
2026-04-18 01:58,6.5,7,Intermediate,Good
2026-04-18 01:59,6.5,7,Intermediate,Good
2026-04-18 02:00,7.0,6,Intermediate,Good
